GAUGE,YEAR_OPENE,InLine_FID,SimLnFLag,POINT_X,POINT_Y
2.6,1917,88,0,73.32106933,20.68370145
2.6,1917,89,0,72.84996933,20.74420145
2.6,1917,89,0,72.95206933,20.71490145
2.6,1917,90,0,72.78456933,22.04870145
2.6,1917,90,0,73.19876933,22.28860145
2.6,1917,90,0,73.40626933,22.12950145
2.6,1917,91,0,88.02936933,22.89730145
2.6,1917,91,0,88.06096933,22.98370145
2.6,1917,92,0,88.06096933,22.98370145
2.6,1917,92,0,88.13506933,22.97560145
2.6,1917,92,0,88.33466933,23.02380145
2.6,1917,93,0,88.06096933,22.98370145
2.6,1917,93,0,87.99836933,23.06590145
2.6,1917,94,0,87.62936933,23.21380145
2.6,1917,94,0,87.84526933,23.08860145
2.6,1917,95,0,87.69866933,23.83170145
2.6,1917,95,0,88.08386933,23.64410145
2.6,1917,96,0,77.43306933,26.57630145
2.6,1917,96,0,77.54366933,26.70550145
2.6,1918,97,0,77.57276933,13.02730145
2.6,1918,97,0,77.54566933,13.06160145
2.6,1918,98,0,75.36706933,20.67540145
2.6,1918,98,0,75.58456933,20.67350145
2.6,1919,99,0,75.58456933,20.67350145
2.6,1919,99,0,75.76346933,20.84090145
2.6,1919,100,0,73.28456933,22.44050145
2.6,1919,100,0,73.25056933,22.53890145
2.6,1919,101,0,73.25056933,22.53890145
2.6,1919,101,0,73.32336933,22.49660145
2.6,1919,102,0,73.25056933,22.53890145
2.6,1919,102,0,73.39746933,22.80590145
2.6,1920,103,0,86.33186933,22.02170145
2.6,1920,103,0,86.60236933,22.18060145
2.6,1920,103,0,86.75266933,21.95210145
2.6,1920,104,0,88.03216933,22.18470145
2.6,1920,104,0,88.30426933,22.37570145
2.6,1920,104,0,88.33486933,22.51330145
2.6,1921,105,0,73.17616933,21.89130145
2.6,1921,105,0,73.18376933,22.01280145
2.6,1921,106,0,73.18376933,22.01280145
2.6,1921,106,0,73.31006933,21.93800145
2.6,1921,107,0,73.11866933,22.03260145
2.6,1921,107,0,73.18376933,22.01280145
2.6,1921,108,0,66.99006933,30.42410145
2.6,1921,108,0,67.72386933,30.80430145
2.6,1921,109,0,70.37306933,32.23200145
2.6,1921,109,0,70.22026933,32.25940145
2.6,1922,110,0,78.86026933,22.14670145
2.6,1922,110,0,78.81056933,22.21070145
2.6,1922,111,0,72.98006933,22.37760145
2.6,1922,111,0,72.95456933,22.40800145
2.6,1922,111,0,72.78236933,22.45760145
2.6,1922,112,0,85.30636933,25.46740145
2.6,1922,112,0,85.21766933,25.09160145
